date,amount,category,merchant,account,type
2024-01-01,50000,salary,Company,bank,credit
2024-01-02,1200,groceries,Big Bazaar,card,debit
2024-01-03,800,transport,Uber,upi,debit
2024-01-04,1500,food,Zomato,card,debit
2024-01-05,2000,shopping,Amazon,card,debit
2024-01-06,300,entertainment,Netflix,card,debit
2024-01-07,1000,groceries,Reliance Mart,card,debit
2024-01-08,700,transport,Ola,upi,debit
2024-01-09,1200,food,Swiggy,card,debit
2024-01-10,1500,utilities,Electricity,bank,debit
2024-01-11,1000,groceries,Big Bazaar,card,debit
2024-01-12,2000,shopping,Flipkart,card,debit
2024-01-13,500,transport,Uber,upi,debit
2024-01-14,1800,food,Zomato,card,debit
2024-01-15,2500,shopping,Amazon,card,debit
2024-01-16,900,groceries,Reliance Mart,card,debit
2024-01-17,700,transport,Ola,upi,debit
2024-01-18,1600,food,Swiggy,card,debit
2024-01-19,3000,shopping,Amazon,card,debit
2024-01-20,400,entertainment,Spotify,card,debit
2024-01-21,1200,groceries,Big Bazaar,card,debit
2024-01-22,600,transport,Uber,upi,debit
2024-01-23,1400,food,Zomato,card,debit
2024-01-24,3500,shopping,Flipkart,card,debit
2024-01-25,1000,groceries,Reliance Mart,card,debit
2024-01-26,800,transport,Ola,upi,debit
2024-01-27,1700,food,Swiggy,card,debit
2024-01-28,5000,shopping,Amazon,card,debit
2024-01-29,300,entertainment,Netflix,card,debit
2024-01-30,1500,groceries,Big Bazaar,card,debit
2024-01-31,2000,rent,Landlord,bank,debit
2024-02-01,50000,salary,Company,bank,credit
2024-02-02,1300,groceries,Big Bazaar,card,debit
2024-02-03,700,transport,Uber,upi,debit
2024-02-04,1600,food,Zomato,card,debit
2024-02-05,2500,shopping,Amazon,card,debit
2024-02-06,300,entertainment,Netflix,card,debit
2024-02-07,1100,groceries,Reliance Mart,card,debit
2024-02-08,800,transport,Ola,upi,debit
2024-02-09,1300,food,Swiggy,card,debit
2024-02-10,1600,utilities,Electricity,bank,debit
2024-02-11,1000,groceries,Big Bazaar,card,debit
2024-02-12,2200,shopping,Flipkart,card,debit
2024-02-13,600,transport,Uber,upi,debit
2024-02-14,2000,food,Zomato,card,debit
2024-02-15,2600,shopping,Amazon,card,debit
2024-02-16,900,groceries,Reliance Mart,card,debit
2024-02-17,700,transport,Ola,upi,debit
2024-02-18,1800,food,Swiggy,card,debit
2024-02-19,3200,shopping,Amazon,card,debit
2024-02-20,400,entertainment,Spotify,card,debit
2024-02-21,1200,groceries,Big Bazaar,card,debit
2024-02-22,600,transport,Uber,upi,debit
2024-02-23,1500,food,Zomato,card,debit
2024-02-24,3800,shopping,Flipkart,card,debit
2024-02-25,1000,groceries,Reliance Mart,card,debit
2024-02-26,900,transport,Ola,upi,debit
2024-02-27,1700,food,Swiggy,card,debit
2024-02-28,7000,shopping,Amazon,card,debit
2024-02-29,300,entertainment,Netflix,card,debit
2024-03-01,50000,salary,Company,bank,credit
2024-03-02,1400,groceries,Big Bazaar,card,debit
2024-03-03,900,transport,Uber,upi,debit
2024-03-04,1800,food,Zomato,card,debit
2024-03-05,6000,shopping,Amazon,card,debit
2024-03-06,300,entertainment,Netflix,card,debit
2024-03-07,1200,groceries,Reliance Mart,card,debit
2024-03-08,900,transport,Ola,upi,debit
2024-03-09,1400,food,Swiggy,card,debit
2024-03-10,1700,utilities,Electricity,bank,debit
2024-03-11,1100,groceries,Big Bazaar,card,debit
2024-03-12,2500,shopping,Flipkart,card,debit
2024-03-13,700,transport,Uber,upi,debit
2024-03-14,2200,food,Zomato,card,debit
2024-03-15,7000,shopping,Amazon,card,debit
